City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Year,Month,Day,DayOfWeek,WeekOfYear,Season,City_enc,Season_enc
Lucknow,2023-09-10,43.8653772184034,17.051409151646038,3.6713132311824648,2.292815786130172,20.37856177671349,16.86212147797727,3.321277658164774,16.548922519163646,45.28705774225772,1.9534066089198574,3.587279615529684,0.8923002022557315,27.8,2023,9,10,6,36,Monsoon,7,1
Mumbai,2017-05-10,22.73584605448076,19.146265964118577,1.9294375672828759,3.813991589795699,72.19620249795392,18.977122317406376,3.421521512876485,29.120792319480085,26.435102209880416,5.829986533403645,2.7213634028765328,1.9862390021236793,20.41,2017,5,10,2,19,Spring,8,2
Kolkata,2018-07-18,34.724830587416086,42.04364727090912,17.131292795113815,5.266992706718467,34.49842238212614,8.4708777325429,0.9407924464850398,31.66326923976434,22.09113786684392,0.6123152975471425,6.614328567290894,5.420781075727583,28.45,2018,7,18,2,29,Summer,6,3
Bengaluru,2018-02-04,30.301258014826622,14.728721281141802,62.05510354743852,22.848091216995716,75.17100187085857,29.898218537330777,3.0621530904286804,12.37686368834675,16.133460365673667,0.5154923763688939,18.24348075689223,0.8312109325316106,22.1,2018,2,4,6,5,Winter,1,4
Hyderabad,2017-12-31,32.30640030215895,33.68823675436896,34.62649815900755,77.11479450209336,70.07864552097064,17.578846580343086,1.6514879585724616,5.908367911501336,23.07800396277459,4.577255155313005,2.7741772691856497,5.998513129424849,39.53,2017,12,31,6,52,Winter,4,4
Pune,2023-06-20,64.13467645373282,20.95182026001364,11.448334795348703,13.259302321477195,95.21408535790374,16.10095410006446,0.306868679904963,11.311954857278561,22.766389543515626,6.133864500467235,10.780162702535645,6.188143680284531,33.43,2023,6,20,1,25,Summer,9,3
Bengaluru,2019-06-27,26.124345179627284,76.81506642629569,15.38419551172778,77.11479450209336,4.987197053699443,3.743090107147687,1.0593200317902562,6.676858723003549,5.0,0.22667636681683823,2.9328791827525924,1.5786683595393645,44.34,2019,6,27,3,26,Summer,1,3
Lucknow,2020-12-09,10.282104697051349,74.16993951344831,6.55697134306371,1.168487301085137,6.276218765595321,7.859734704055548,1.0467144172182805,4.872580307655845,20.518685088540046,4.3328651334024935,1.5324844966474924,2.537743093682918,25.36,2020,12,9,2,50,Winter,7,4
Kolkata,2016-04-11,96.22698620135185,55.51051928344216,3.5601981233036897,77.11479450209336,3.4575828841524126,8.535363977388236,2.230489765313193,12.030220170012239,9.938721371453815,1.6573486130387263,28.703674773917665,13.701627285960008,62.6,2016,4,11,0,15,Spring,6,2
Delhi,2018-05-23,30.14205093628574,14.440364236532261,13.158734502434395,5.995726385911587,109.50050411659375,19.84478562197294,4.234869766964656,16.091281308490856,25.861687663834235,3.6494200660016873,10.030359670751647,6.915014675351471,23.06,2018,5,23,2,21,Spring,3,2
Ahmedabad,2015-11-27,25.64652137578335,46.247123313392926,12.453832722923714,73.07491946941788,25.786654712466795,14.450520676675831,1.1857376201564094,13.39488710478674,94.85253510877853,0.4349709691275102,1.1048051996190131,7.751381343977447,48.39,2015,11,27,4,48,Autumn,0,0
Pune,2019-01-22,51.12628141919226,68.71986277229433,14.759960299508005,19.2294512293847,2.659495519738733,1.3465828873783885,1.600079331372951,41.96178724314042,14.996093592039678,9.231341201657232,10.014238668331563,3.631092175886861,45.0,2019,1,22,1,4,Winter,9,4
Pune,2020-11-05,35.15929582900746,96.30388561613746,61.06917085777147,19.2294512293847,15.516594887211738,5.515993993268466,2.0561782797893144,5.320926563194745,43.080941631002425,6.392969929453702,1.9400597330692615,1.1985242461678398,45.25,2020,11,5,3,45,Autumn,9,0
Bengaluru,2023-09-07,95.09670687946308,157.8465124366483,18.52153418199341,6.724256396308633,17.318343006771542,9.609673136955008,0.3809050641583188,6.9863901759536295,10.087638020555339,1.5624891359452013,21.874409487336386,4.47333010996482,82.77,2023,9,7,3,36,Monsoon,1,1
Lucknow,2022-12-29,7.072229767500802,119.4560744883655,18.616508848557178,10.81679125653355,66.33668670932435,20.018795204955484,0.6142125127102258,10.773135119329027,12.655190043305895,6.714856786261597,2.843155013080535,7.394335838057565,36.56,2022,12,29,3,52,Winter,7,4
Delhi,2015-05-11,24.100852824741796,61.27326232283209,2.739885065056922,20.25581987892896,53.193066692268154,20.41344245516473,0.7973621371648096,13.757815541870027,9.75089702084351,6.759263454871485,16.440183979091273,0.019454118425578888,29.54,2015,5,11,0,20,Spring,3,2
Jaipur,2019-08-13,104.41317062213359,44.71598579716136,62.05510354743852,14.375975672602452,46.768306969278335,10.116156480533274,1.3542783224313775,0.027976853992875996,29.715280667405775,1.85552775681418,2.221380991105189,0.6039291222057456,58.64,2019,8,13,1,33,Summer,5,3
Kolkata,2017-02-08,51.96439241492152,32.45797360199768,29.642448592759393,33.03598621527043,0.8842440760459545,1.865302560432623,2.850613864340772,5.6157217850742525,22.72309986875608,8.805916064348581,8.171024639895885,3.2150668903186723,35.71,2017,2,8,2,6,Winter,6,4
Jaipur,2021-07-19,104.41317062213359,141.02868749896086,41.94450991351527,77.11479450209336,96.62826878858398,5.198819902885653,0.4399538459758542,4.390657456597478,44.3499065267827,9.231341201657232,24.34160431207421,2.8741205421321463,83.03875,2021,7,19,0,29,Summer,5,3
Ahmedabad,2019-02-24,12.460383924804356,61.35111870490062,10.6989653805977,27.97462259830162,9.71116631506797,4.409373541362988,0.9548349939756237,27.480744700884795,39.91020323275776,0.7346829515764262,3.509806485148923,15.238310232594356,31.11,2019,2,24,6,8,Winter,0,4
Delhi,2022-10-24,78.08182948626892,84.89209216772072,13.948249109948014,38.34854493516578,39.66874965496908,22.782062271788995,2.0886733595368607,30.176601068103416,19.14215350423301,0.20697865617885725,0.8490160439385691,0.48339653644355135,60.28,2022,10,24,0,43,Monsoon,3,1
Delhi,2021-08-30,74.4240795069642,36.11998031101739,14.766397896775558,2.7636313751556942,2.552497227356134,2.976513729391663,0.13716176028930963,5.008888181811506,5.0,1.206585409024896,8.042842819088147,1.9554917490450894,36.56,2021,8,30,0,35,Summer,3,3
Kolkata,2018-04-30,8.624587810917847,22.905193016768706,4.31577675518024,29.650719865696914,3.401671271070997,9.38011942599868,1.0789086126335556,1.6149667422698493,22.72309986875608,2.0131900661875317,1.8914144728804194,8.4399826888898,16.36,2018,4,30,0,18,Spring,6,2
Chennai,2017-08-13,26.143436594921464,41.254640243644225,23.390729099115774,18.145836223947484,0.384938134994237,16.662647890517075,0.23389286992320818,10.812388683419023,26.635435364623543,0.2917683314648998,13.032212893602432,4.739262962560088,26.0,2017,8,13,6,32,Summer,2,3
Jaipur,2021-05-13,32.77331362892744,44.16577703431689,46.656087331171335,65.0894852887608,33.38176164560344,45.100443878122334,1.1620204118253155,2.9141218741602954,63.96553230090093,0.4547703338316502,8.936029406351304,4.123282423299538,39.38,2021,5,13,3,19,Spring,5,2
Mumbai,2018-03-30,9.064404746188545,62.442160954897716,3.575496712360854,14.74103970091808,39.70308434452562,45.100443878122334,1.0504835816657812,4.066019990784955,31.971760355964204,9.231341201657232,4.25221653311335,6.758518647192537,25.11,2018,3,30,4,13,Spring,8,2
Pune,2016-04-04,26.584228828915208,32.58318239184263,1.8054597723037147,34.13189809705633,2.0712019126051024,45.100443878122334,0.40564248922117624,4.01123059275651,22.766389543515626,4.010234556849596,12.229966545957872,0.20402148669537878,25.64,2016,4,4,0,14,Spring,9,2
Chennai,2015-01-22,66.58947370803834,55.56085487947404,26.804932835794766,7.769096359668575,13.726939141654785,19.000619367820235,2.840473478516085,9.804243374426662,74.83273788747701,6.236838655358533,2.7250184440223233,14.733919977733038,48.25,2015,1,22,3,4,Winter,2,4
Mumbai,2021-04-19,24.22200584431754,124.51104764203016,6.382129253035389,9.007725732044921,76.27453570457713,20.58237124315774,0.6115105655973789,5.77702857840486,7.678821415576366,9.231341201657232,24.893552737487035,1.0614134069296426,42.61,2021,4,19,0,16,Spring,8,2
Lucknow,2017-01-17,40.19354957991948,16.927285952207527,19.556012431912958,14.154033997925826,4.2726125711484055,21.357457500284603,0.3175357026348997,12.308632836198656,15.588586215627227,1.425141906263936,4.26006698491104,0.4269045898404117,23.37,2017,1,17,1,3,Winter,7,4
Kolkata,2022-12-14,40.42693319878671,12.405850621241228,23.798659051176408,10.874907370070897,9.761776650325762,29.773415871405078,0.9965319196364798,6.326995966954962,29.159230963010597,3.4929483046312133,14.395606108626012,2.069656054975099,22.94,2022,12,14,2,50,Winter,6,4
Lucknow,2016-04-19,32.79530192341794,130.60006232110592,7.769527651331215,8.786018348394729,22.093081216405746,45.100443878122334,3.1321190964228007,25.28481978665262,12.069555496051784,0.6101036350193885,2.9910620506030012,6.059289595366911,50.75,2016,4,19,1,16,Spring,7,2
Pune,2017-12-18,18.83759073719796,19.59866554299219,33.76362734450632,1.5283387364765053,73.87586317206808,8.850904617104042,0.10713615655401051,41.96178724314042,22.766389543515626,2.4066584007840066,12.546534642729167,1.3164646134650384,18.76,2017,12,18,0,51,Winter,9,4
Hyderabad,2022-01-02,56.095252310839584,41.84405045108044,15.969664246537507,54.37350122865851,11.766738787312999,8.08094205262535,0.5952891639304101,7.760666970696111,23.07800396277459,0.7067055600283292,0.32037169079424305,0.25573619437597933,41.79,2022,1,2,6,52,Winter,4,4
Mumbai,2020-08-09,9.303335490768076,83.59099315569856,40.65106872678622,1.993860083808243,120.86123855419754,9.255699375770869,1.5883512558054451,0.7610102062101632,5.0,0.5245997096128248,3.5029231072809743,0.29563446689522205,25.82,2020,8,9,6,32,Summer,8,3
Chennai,2022-07-10,33.343755411841755,52.380882235959454,28.818690479219168,65.50822063250922,17.556438257342247,16.17408112331136,0.6637715037128608,4.108230929232509,6.779009669160286,0.31089813326641347,0.9749184982906747,1.4824505485348056,36.01,2022,7,10,6,27,Summer,2,3
Mumbai,2017-09-02,100.3224072604372,51.86781612882918,40.58647482798997,4.021902220196942,19.53965328317628,22.404545665002853,0.11018565213059306,1.6114091524554697,26.6110252664944,2.600620597026353,6.000585983553615,0.7267120909591531,51.56,2017,9,2,5,35,Monsoon,8,1
Mumbai,2019-12-12,23.15246837520551,57.43636581338533,0.40734793017088017,2.024661647077627,5.209186168077897,30.66625865235373,0.6051983425573157,10.056717244762112,27.952140727251784,8.978282039369223,5.711207053820738,2.329525084076076,26.89,2019,12,12,3,50,Winter,8,4
Kolkata,2015-07-09,18.50688866041972,157.8465124366483,5.5812204342946625,24.83498956510886,45.60211658712123,9.13790284727727,2.5802139086785756,15.539389915711416,94.85253510877853,0.3910839929544113,4.447385712045185,0.950194801769,83.03875,2015,7,9,3,28,Summer,6,3
Lucknow,2023-03-25,59.16989670889679,157.8465124366483,1.8863881054815752,20.94128188132898,11.160268909365033,6.773561475411088,1.0467144172182805,10.97544854559305,32.06723735123163,2.0933605137126907,30.49942823247772,2.110368890885939,76.14,2023,3,25,5,12,Spring,7,2
Jaipur,2022-06-27,37.740938549965975,33.595505185923834,11.670902079882397,20.273046334528374,39.647855761847275,45.100443878122334,0.06088802738417023,10.132433551911173,38.447298984913274,3.4853092175107347,2.798336813059527,2.9393175165560437,29.55,2022,6,27,0,26,Summer,5,3
Hyderabad,2023-03-25,32.30640030215895,113.93427746283659,44.138248962365765,25.635015042344733,10.100717835146522,3.95728844588522,1.2634588730777874,8.815288553043484,8.415604355658708,2.0547138165243046,15.65665678811887,6.784439177614393,46.14,2023,3,25,5,12,Spring,4,2
Kolkata,2016-07-16,34.15123633910033,77.77775231388749,12.604959882959259,10.150597595729325,19.63257218260958,3.7655245470080354,0.16690597425945744,9.765251563379255,22.72309986875608,7.2836261610233874,5.932061781647123,1.2899660818309728,36.5,2016,7,16,5,28,Summer,6,3
Ahmedabad,2020-03-14,5.0,53.85739058339531,37.9041755255684,32.6256550802888,77.70480842095094,18.850451815784744,1.7110113077798275,3.8853692245824116,32.24649470401067,0.5456293099920926,4.076832846975895,3.2223924895131035,24.58,2020,3,14,5,11,Spring,0,2
Kolkata,2018-06-21,85.1088247115022,28.918798016519542,7.925496509061917,20.938895951803495,53.71497776738869,2.970496407619076,0.011885301692185568,16.907359504506307,70.05571416641628,0.07337994655112574,2.274863471906836,8.446606294544075,48.86,2018,6,21,3,25,Summer,6,3
Pune,2022-11-19,104.41317062213359,60.54256493297533,8.297285023863616,12.227476462203828,6.717385068219704,7.647616622061836,0.022277044920742596,3.2953874463204236,22.766389543515626,1.4492331568389603,10.034945683691308,15.238310232594356,79.2,2022,11,19,5,46,Autumn,9,0
Hyderabad,2019-03-09,92.50223491493388,44.06951063185368,45.18318205905855,52.54744571615816,37.42996980753206,5.187865406968693,2.2500671366153764,17.03362839086341,23.07800396277459,2.432340141888757,4.059824352073973,4.074384383813742,56.57,2019,3,9,5,10,Spring,4,2
Delhi,2023-10-08,5.0,41.85904688090948,11.096147466158346,39.02785070635512,39.62340365151713,2.771656759872304,0.11602689866541371,41.96178724314042,30.213391468840108,0.8811289713213002,16.76212315978972,2.830990231460016,26.8,2023,10,8,6,40,Monsoon,3,1
Ahmedabad,2016-10-08,47.506691272035,31.91416815813515,31.190632931013326,15.006974983722756,3.7974228332430333,13.002056411462355,0.5461573041609826,26.69923813343552,22.1397112263082,0.5533321949806334,30.49942823247772,4.992022370929304,32.01,2016,10,8,5,40,Monsoon,0,1
Bengaluru,2020-08-30,28.44402731209694,109.93359093891011,5.400603698859905,56.44090030549606,25.079822521682786,7.014372690041541,4.234869766964656,2.615489029119075,5.355460800421964,4.901773282387774,2.5764644516417845,3.3305369705678545,50.43,2020,8,30,6,35,Summer,1,3
Kolkata,2022-11-28,13.909958147311128,31.899278339842454,59.44063903418578,20.439522777862397,12.080349533490773,9.304981186401639,4.234869766964656,11.025121390500674,47.307383813758705,0.6268906633925755,1.377349418359988,0.9001607526882867,24.84,2022,11,28,0,48,Autumn,6,0
Mumbai,2021-01-23,36.53189553620805,32.03561756559786,17.093484820359045,23.092182798346933,25.179122196746846,3.269784484652631,0.2640372854195182,8.231068548625768,26.435102209880416,1.7538589784292773,3.7909264073132585,3.075814630925903,27.68,2021,1,23,5,3,Winter,8,4
Jaipur,2018-07-21,29.395516540121793,53.38199967538427,28.48603711613121,7.260329699570792,60.03607619777793,21.90665918472751,1.2345487159114525,41.96178724314042,17.83942020648812,9.231341201657232,6.294435710931786,15.238310232594356,34.8,2018,7,21,5,29,Summer,5,3
Delhi,2021-09-01,49.745810222443126,49.351525267159595,1.875572460215753,74.23401628271048,6.891343122858481,5.668743193465414,1.2285719100962662,41.96178724314042,28.70557560916208,2.8457045189009107,3.5805706426894024,5.114213205973513,49.37,2021,9,1,2,35,Monsoon,3,1
Kolkata,2016-08-23,34.648836673791806,50.29003938543131,13.571644362616999,6.302363798044295,5.263808698616971,6.294636018269957,0.9032623862947446,2.0392212760506268,9.661839740920495,2.0658132601501293,30.49942823247772,1.6664124586913274,27.27,2016,8,23,1,34,Summer,6,3
Kolkata,2021-06-21,13.508921438656149,112.50812473058497,46.26048740951543,1.4890472581109437,12.550994993136065,4.358372308178263,3.8794158689369826,35.90914030122437,19.548982821614498,1.3400345029069738,15.10505390696768,14.701110020323247,40.56,2021,6,21,0,25,Summer,6,3
Chennai,2020-08-23,20.878471965458782,136.94651227648635,41.91770060397336,11.902015500958637,120.86123855419754,8.548117200711442,2.1038423917784743,3.2242519767864706,34.091384527344935,2.2043175745867307,30.49942823247772,2.4598693096969386,48.11,2020,8,23,6,34,Summer,2,3
Chennai,2015-08-30,18.35006570118075,12.31118248707229,0.9589035273627701,38.944806330992556,55.10515439999988,9.342473327150309,2.16923812295389,5.772842862342415,24.26648147520238,3.9762419998827334,4.671915186419086,2.472476596857261,19.47,2015,8,30,6,35,Summer,2,3
Delhi,2020-08-03,8.388095167137145,49.891867905495296,7.239449569126823,77.02547311440324,0.7859047752545929,11.314712199279821,0.47118164883120134,6.540596322440235,48.37989649613388,5.186814414807167,3.633757169120223,4.7933756173407644,32.69,2020,8,3,0,32,Summer,3,3
